subject,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total,signal_group
205,3,overlapping,75.29870166322121,5.832474726627498,41,41,2
205,4,non_overlapping,75.57325022830041,4.424375901902593,16,16,2
205,4,overlapping,75.48615375366212,4.938257153344526,31,31,2
205,5,non_overlapping,75.30628413000433,4.201516878027149,12,12,2
205,5,overlapping,75.25019073668267,4.111789878285313,24,24,2
206,3,non_overlapping,72.48738813045945,10.033677725963463,21,21,2
206,3,overlapping,71.17907043083478,7.635387194424906,41,41,2
206,4,non_overlapping,72.1075585146987,8.626438274823046,16,16,2
206,4,overlapping,71.96585914770371,8.878668527371575,31,31,2
206,5,non_overlapping,72.41824277879375,7.94687751663154,12,12,2
206,5,overlapping,72.20195475751136,8.121572492385518,24,24,2
301,3,non_overlapping,54.31809820702475,4.237055697869133,21,21,3
301,3,overlapping,53.57760690740165,3.584468722793328,41,41,3
301,4,non_overlapping,53.91700416420233,3.64186120732843,16,16,3
301,4,overlapping,53.9577653506542,3.5997394237757008,31,31,3
301,5,non_overlapping,54.16322756811372,3.2126305079284605,12,12,3
301,5,overlapping,54.00545297856137,3.1575148704651,24,24,3
302,3,non_overlapping,57.14125806725427,2.466749423170622,21,21,3
302,3,overlapping,57.39730141886477,3.383638091317703,41,41,3
302,4,non_overlapping,58.13534410202952,4.46924327100735,16,16,3
302,4,overlapping,57.90967973572761,3.9612826235902237,31,31,3
302,5,non_overlapping,58.248942281403906,3.9436788566856116,12,12,3
302,5,overlapping,57.992743936431054,3.67072319369744,24,24,3
303,3,non_overlapping,57.961885030340234,5.404661240359035,23,23,3
303,3,overlapping,57.99146768627564,5.581845617738216,45,45,3
303,4,non_overlapping,57.78008350050863,4.5136441773997324,17,17,3
303,4,overlapping,57.788451863430446,4.223204816411264,33,33,3
303,5,non_overlapping,57.795464759019026,3.4017243452810213,13,13,3
303,5,overlapping,57.65089875813187,3.3301823861145663,26,26,3
304,3,non_overlapping,57.726539382107454,7.469044298703851,24,24,3
304,3,overlapping,57.4477189807428,6.038907053773251,48,48,3
304,4,non_overlapping,57.337222736541015,5.807350221559825,18,18,3
304,4,overlapping,57.47619268243389,6.093299973531652,36,36,3
